"","fit.or.lag0","fit.or.lag1","fit.or.lag2","fit.or.lag3","fit.or.lag4","fit.or.lag5","fit.or.lag6","fit.or.lag7","fit.or.lag8","fit.or.lag9","fit.or.lag10","fit.or.lag11","fit.or.lag12","fit.or.lag13","fit.or.lag14","fit.or.lag15","fit.or.lag16","fit.or.lag17","fit.or.lag18","fit.or.lag19","fit.or.lag20","fit.or.lag21","fit.or.lag22","fit.or.lag23","CounterfactualNO2","lci.or.lag0","lci.or.lag1","lci.or.lag2","lci.or.lag3","lci.or.lag4","lci.or.lag5","lci.or.lag6","lci.or.lag7","lci.or.lag8","lci.or.lag9","lci.or.lag10","lci.or.lag11","lci.or.lag12","lci.or.lag13","lci.or.lag14","lci.or.lag15","lci.or.lag16","lci.or.lag17","lci.or.lag18","lci.or.lag19","lci.or.lag20","lci.or.lag21","lci.or.lag22","lci.or.lag23","uci.or.lag0","uci.or.lag1","uci.or.lag2","uci.or.lag3","uci.or.lag4","uci.or.lag5","uci.or.lag6","uci.or.lag7","uci.or.lag8","uci.or.lag9","uci.or.lag10","uci.or.lag11","uci.or.lag12","uci.or.lag13","uci.or.lag14","uci.or.lag15","uci.or.lag16","uci.or.lag17","uci.or.lag18","uci.or.lag19","uci.or.lag20","uci.or.lag21","uci.or.lag22","uci.or.lag23"
"0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1",1.00051876387915,1.00043272536316,1.00034882697354,1.00026920073091,1.00019597801793,1.00013128969299,1.00007726624948,1.00003603802029,1.00000970168285,0.999998329623415,0.999998856641174,1.00000794807663,1.0000222694373,1.00003848616774,1.00005326353071,1.00006326659961,1.00006538444123,1.00005911114363,1.00004562156963,1.00002611870203,1.00000180555418,0.999973885104907,0.999943560247877,0.999912033755454,1,1.00017004473167,1.00017037845244,1.00016431400105,1.00014333281205,1.00009138602967,1.00001001982676,0.999929346678036,0.999870261325083,0.999842509291946,0.999845746382679,0.999868158801973,0.999893391604159,0.999905492277676,0.999902316524968,0.999893729771159,0.999888754560365,0.9998926605772,0.999905443670985,0.999921366862582,0.999924225670716,0.999884355394414,0.999799580554162,0.999691598626035,0.999573559958641,1.00086760461101,1.00069514108806,1.00053337398547,1.00039508449024,1.00030058094467,1.00025257426546,1.00022520770267,1.00020184220097,1.00017692203146,1.00015093614939,1.00012957156455,1.00012251767369,1.00013906023512,1.00017467435449,1.00021282274398,1.00023780909671,1.000238138142,1.0002128022322,1.00016989171713,1.00012802211632,1.00011926951009,1.00014822004382,1.00019558537396,1.00025062216565
"2",1.00103779687427,1.00086563797756,1.00069777562733,1.00053847393086,1.00039199444324,1.00026259662297,1.00015453846903,1.00007207733932,1.00001940345983,0.99999665924962,0.999997713283655,1.00001589621643,1.00004453937053,1.00007697381666,1.00010652989841,1.00012653720189,1.00013077315759,1.00011822578139,1.00009124522059,1.00005223808625,1.00000361111162,0.999947770891802,0.999887123681199,0.999824075248968,2,1.00034011837855,1.00034078593369,1.00032865500119,1.00028668616839,1.00018278041074,1.00002003975391,0.999858698347964,0.999740539482289,0.999685043387215,0.999691516559537,0.999736334986047,0.999786794573668,0.999810993487061,0.999804642591997,0.99978747083568,0.999777521496278,0.999785332676153,0.99981089628287,0.999842739908333,0.999848457083181,0.999768724162503,0.999599201276277,0.999383292363477,0.999147301768391,1.00173596195978,1.00139076539725,1.00106703245874,1.00079032507224,1.00060125223824,1.00050521232468,1.00045046612384,1.00040372514222,1.00035387536433,1.0003018950805,1.0002591599179,1.00024505035795,1.00027813980799,1.0003493792201,1.00042569078147,1.00047567474658,1.00047633299378,1.00042564974919,1.00033981229745,1.00025606062231,1.00023855324539,1.00029646205682,1.00039120900156,1.00050130714278
"3",1.00155709912496,1.00129873792422,1.00104684600383,1.00080781961935,1.00058804928346,1.00039392079219,1.00023181665912,1.00010811795713,1.00002910533093,0.999994988878615,0.999996569927444,1.00002384441941,1.0000668097997,1.00011546294682,1.00015979910328,1.00018981180709,1.00019616614936,1.00017734391348,1.00013687095297,1.00007835815267,1.00000541667233,0.999921657360666,0.999830690299787,0.999736124479861,3,1.00051022094556,1.00051122244871,1.00049302300486,1.00043006007198,1.00027418314399,1.00003005978146,0.999788055009431,0.999610834469436,0.999527602281902,0.999537310526903,0.999604528549931,0.999680208907315,0.999716503627312,0.999706978200155,0.999681223192362,0.999666300806362,0.99967801629562,0.999716357834809,0.99976411913677,0.99977269423696,0.999653106302721,0.999398862158297,0.999075081182994,0.998721225351701,1.00260507269939,1.00208687326347,1.00160097557156,1.00118572180766,1.00090201390788,1.00075791419377,1.00067577527495,1.00060564883197,1.00053086000414,1.00045287679677,1.0003887650622,1.00036759805464,1.0004172387213,1.00052411460218,1.00063860412213,1.00071359696306,1.00071458456883,1.0006385425606,1.00050976174588,1.00038411552006,1.0003578512076,1.00044472604226,1.00058687089028,1.00075205494711
"4",1.00207667077089,1.00173202528422,1.00139603814549,1.0010772378159,1.00078414254612,1.00052526220292,1.0003091008202,1.00014415987378,1.00003880729616,0.999993318510401,0.999995426572539,1.00003179268555,1.00008908072482,1.00015395355828,1.00021307114545,1.00025309041545,1.0002615634168,1.00023646554011,1.00018249876687,1.00010447890132,1.00000722223629,0.999895544511483,0.999774260103462,0.999648181447453,4,1.00068035243761,1.00068168800243,1.00065741801649,1.00057345452575,1.00036559423017,1.00004007990941,0.999717416662085,0.999481146284339,0.999370185972099,0.999383128281107,0.999472739491334,0.99957363460389,0.999622022697585,0.999609323348511,0.999574986840005,0.99955509248924,0.999570711434365,0.999621828325956,0.999685504547403,0.999696937131618,0.99953750181352,0.999198563192172,0.998766965055263,0.998295330631056,1.00347493748348,1.00278346502288,1.00213520347575,1.00158127475819,1.00120286598074,1.00101067988886,1.00090113516742,1.00080761327843,1.00070787595643,1.00060388130163,1.00051838699965,1.00049016076558,1.00055635697774,1.00069888050604,1.00085156277559,1.00095157575962,1.00095289288068,1.00085148067608,1.0006797400673,1.00051218681166,1.00047716339842,1.00059301200339,1.00078257104761,1.0010028655944
"5",1.00259651195183,1.00216550013865,1.00174535209479,1.00134672854002,1.00098027423875,1.00065662085743,1.00038639095274,1.0001802030893,1.00004850935551,0.999991648144976,0.999994283218942,1.00003974101487,1.0001113521459,1.0001924456511,1.00026634602507,1.00031637302723,1.00032696496021,1.00029559066148,1.00022812866239,1.0001306003322,1.00000902780351,0.999869432344234,0.999717833092042,0.999560246151064,5,1.00085051285963,1.00085218259982,1.00082184004053,1.00071686953265,1.00045701367004,1.00005010013776,0.999646783305572,0.999351474924816,0.999212794453902,0.99922896981848,0.999340967807963,0.999467071662179,0.999527550697035,0.999511678036132,0.99946876177741,0.999443896543537,0.999463418091152,0.999527307755466,0.999606896139749,0.99962118576672,0.999421910693355,0.998998304369854,0.998458943950968,0.997869617528974,1.00434555696627,1.00348054101184,1.0026697163232,1.00197698398557,1.00150380848401,1.00126350942605,1.00112654581267,1.00100961848985,1.00088492322674,1.00075490859854,1.00064802573242,1.00061273849263,1.00069549457999,1.00087367693703,1.00106456675149,1.00118961114969,1.00119125794282,1.00106446410527,1.00084974726664,1.00064027449922,1.00059648981955,1.00074131994348,1.00097830948102,1.0012537391004
"6",1.0031166228076,1.00259916256864,1.00209478789421,1.00161629181124,1.00117644436888,1.00078799675797,1.0004636870572,1.00021624760375,1.00005821150898,0.999989977782342,0.999993139866653,1.00004768940737,1.00013362406295,1.00023093922533,1.00031962374231,1.00037965964269,1.00039237077987,1.00035471927782,1.0002737606396,1.00015672244534,1.00001083337399,0.999843320858902,0.999661409265349,0.999472318590012,6,1.00102070221653,1.0010227062458,1.00098628908141,1.00086030509562,1.00054844146438,1.00006012046651,0.999576154939541,0.999221820388682,0.999055427723407,0.999074835135354,0.99920921349753,0.999360520080974,0.999433087624818,0.999414042262086,0.999362548003376,0.999332712967875,0.999356136264745,0.999432796122495,0.999528293913321,0.99954544014183,0.999306332940679,0.998798085683299,0.998151017840806,0.997444085968004,1.00521693180254,1.00417810156697,1.00320451426591,1.00237284955152,1.00180484144485,1.00151640282147,1.00135200722213,1.00121166447444,1.00106200182062,1.00090595869092,1.00077768126268,1.00073533123761,1.00083465153075,1.00104850390047,1.00127761605949,1.00142770314675,1.00142967976878,1.0012774928578,1.00101978334879,1.00076837858484,1.00071583047269,1.00088964986577,1.00117408619801,1.00150467548087
"7",1.00363700347809,1.00303301265536,1.00244434558627,1.00188592764909,1.00137265294404,1.00091938990681,1.00054098913404,1.00025229341718,1.00006791375659,0.999988307422498,0.99999199651567,1.00005563786304,1.00015589647598,1.00026943428103,1.0003729042973,1.00044295026208,1.00045778087605,1.00041385138931,1.00031939469863,1.00018284524076,1.00001263894773,0.999817210055468,0.999604988623203,0.999384398763618,7,1.00119092051324,1.00119325894535,1.00115076514356,1.00100376121762,1.00063987761393,1.00007014089566,0.999505531563639,0.999092182673757,0.99889808577671,0.99892072422806,0.999077476557742,0.999253979859061,0.999338633480091,0.999316416025442,0.999256345516705,0.999221541760879,0.999248865953907,0.999338293426197,0.999449697867632,0.999469700256515,0.999190768553947,0.998597907124462,0.997843186695479,0.997018735870731,1.00608906264764,1.00487614702509,1.00373959745592,1.00276887151782,1.00210596489047,1.00176936009126,1.00157751940724,1.00141375124044,1.0012391117436,1.00105703158223,1.00090735359261,1.00085793900236,1.00097382783271,1.0012233614017,1.00149071070922,1.00166585176425,1.00166815837206,1.00149056694333,1.00118984831866,1.00089649907062,1.00083518535952,1.00103800177353,1.00136990120606,1.00175567475155
"8",1.00415765410328,1.00346705048003,1.00279402521348,1.00215563607311,1.00156889997177,1.00105080030623,1.00061829718372,1.00028834052962,1.00007761609832,0.999986637065444,0.999990853165995,1.00006358638188,1.00017816938501,1.00030793081826,1.00042618769021,1.00050624488565,1.00052319524903,1.00047298699617,1.00036503083955,1.00020896871848,1.00001444452474,0.999791099933915,0.999548571165424,0.9992964866712,8,1.00136116775467,1.0013638407034,1.00131526823144,1.00114723790159,1.00073132211948,1.00008016142522,0.999434913177512,0.998962561777857,0.998740768609907,0.998766637092931,0.998945756986311,0.99914745099523,0.999244188262011,0.999218799325268,0.999150154316196,0.999110382921173,0.999141607157403,0.999243799665727,0.999371108002197,0.999393966110338,0.999075217531612,0.9983977686853,0.9975354504857,0.99659356715977,1.00696195015747,1.0055746777233,1.00427496604538,1.00316504994625,1.00240717884805,1.00202238125155,1.00180308237943,1.00161587879607,1.00141625300123,1.00120812727589,1.00103704272439,1.00098056178874,1.00111302348856,1.00139824944604,1.00170385071034,1.00190405701566,1.0019066937662,1.00170368637151,1.00135994218116,1.00102463595865,1.00095455448176,1.00118637567002,1.00156575451266,1.00200673692821
"9",1.00467857482321,1.00390127612386,1.00314382681838,1.00242541710283,1.00176518545961,1.00118222795847,1.0006956112067,1.00032438894113,1.00008731853418,0.99998496671118,0.999989709817627,1.0000715349639,1.00020044279005,1.00034642883707,1.00047947392118,1.00056954351366,1.00058861389909,1.0005321260986,1.00041066906246,1.0002350928785,1.000016250105,0.999764990494226,0.999492156891832,0.999208582312079,9,1.00153144394574,1.0015344515249,1.00147979834947,1.00129073515047,1.00082277498177,1.00009018205518,0.999364299780809,0.9988329576988,0.998583476219097,0.9986125737263,0.998814054780946,0.999040933488271,0.999149751969733,0.999121192160633,0.999043974400651,0.998999236447381,0.999034359873995,0.999149314840239,0.999292524316529,0.999318237702866,0.99895967987213,0.998197670357774,0.997227809182191,0.996168579757773,1.00783559498854,1.00627369399889,1.00481062018653,1.00356138489864,1.00270848334482,1.00227546631847,1.00202869615013,1.00181804714958,1.00159342559905,1.00135924577536,1.00116674866019,1.00110319959858,1.00125223850099,1.00157316803885,1.0019170360725,1.00214231891445,1.00214528596471,1.00191685115197,1.00153006494121,1.00115278925104,1.00107393784109,1.00133477155849,1.00176164612531,1.00225786202662
