"","fit.or.lag0","fit.or.lag1","fit.or.lag2","fit.or.lag3","fit.or.lag4","fit.or.lag5","fit.or.lag6","fit.or.lag7","fit.or.lag8","fit.or.lag9","fit.or.lag10","fit.or.lag11","fit.or.lag12","fit.or.lag13","fit.or.lag14","fit.or.lag15","fit.or.lag16","fit.or.lag17","fit.or.lag18","fit.or.lag19","fit.or.lag20","fit.or.lag21","fit.or.lag22","fit.or.lag23","CounterfactualNO2","lci.or.lag0","lci.or.lag1","lci.or.lag2","lci.or.lag3","lci.or.lag4","lci.or.lag5","lci.or.lag6","lci.or.lag7","lci.or.lag8","lci.or.lag9","lci.or.lag10","lci.or.lag11","lci.or.lag12","lci.or.lag13","lci.or.lag14","lci.or.lag15","lci.or.lag16","lci.or.lag17","lci.or.lag18","lci.or.lag19","lci.or.lag20","lci.or.lag21","lci.or.lag22","lci.or.lag23","uci.or.lag0","uci.or.lag1","uci.or.lag2","uci.or.lag3","uci.or.lag4","uci.or.lag5","uci.or.lag6","uci.or.lag7","uci.or.lag8","uci.or.lag9","uci.or.lag10","uci.or.lag11","uci.or.lag12","uci.or.lag13","uci.or.lag14","uci.or.lag15","uci.or.lag16","uci.or.lag17","uci.or.lag18","uci.or.lag19","uci.or.lag20","uci.or.lag21","uci.or.lag22","uci.or.lag23"
"0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1",1.00021014270522,1.00040877341957,1.00059543223724,1.00076920622453,1.00092872911231,1.00107218109055,1.0011972887264,1.00130132503475,1.00138112369126,1.00143391680659,1.00145863360261,1.00145601278396,1.00142860256311,1.00138075999654,1.00131864979318,1.00125024287052,1.00118515898345,1.00113285194422,1.00110144004404,1.00109768820657,1.00112700979536,1.0011934682447,1.00129977825839,1.00144730638448,1,1.0000090153719,1.00005827670645,1.00014392484526,1.00025917822377,1.00039414078235,1.00053579963884,1.00066878986254,1.00077794294081,1.00085289299148,1.00089230502542,1.00090208267095,1.00088941180941,1.00085899699341,1.00081210467219,1.00074800463294,1.000667964886,1.00058051755218,1.0005015574925,1.00044932025791,1.00043962616859,1.00048227356118,1.00057725573447,1.00070884933854,1.0008404935513,1.00041131049037,1.00075939297349,1.00104714345882,1.00127949428644,1.00146360311435,1.00160885009325,1.00172606671463,1.00182498084457,1.00190963318093,1.00197582166955,1.00201549400403,1.00202293450989,1.00199853230485,1.00194973842737,1.00188962034593,1.00183285967636,1.00179016579387,1.00176454472884,1.00175398489939,1.00175618309991,1.00177216151396,1.00181006025372,1.00189105612787,1.00205448713025
"2",1.00042032957039,1.00081771393485,1.00119121901404,1.00153900412727,1.00185832076238,1.00214551175339,1.00239601095309,1.00260434351635,1.00276415488516,1.00286988973058,1.0029193948172,1.00291414554114,1.0028592460315,1.00276342649124,1.00263903842365,1.00250204884827,1.00237172256871,1.00226698724197,1.00220409325825,1.00219658133255,1.00225528974179,1.00238836085584,1.0026012459403,1.00289670746474,2,1.00001803082508,1.00011655680907,1.00028787040487,1.00051842362089,1.00078843691166,1.00107188635893,1.00133802700496,1.00155649107684,1.00170651340941,1.00178540625911,1.00180497909505,1.00177961467218,1.00171873186265,1.00162486885837,1.00149656877682,1.00133637594909,1.00116137210498,1.00100336654491,1.00089884240452,1.00087944560834,1.00096477971015,1.00115484469311,1.00141820114447,1.00168169353201,1.00082279015706,1.00151936262466,1.00209538342707,1.00256062567852,1.00292934836278,1.00322028858513,1.00345511273556,1.00365329224423,1.00382291306075,1.00395554721038,1.00403505022414,1.00404996128381,1.00400105874108,1.00390327833467,1.00378281135691,1.00366907872732,1.0035835362813,1.00353220307578,1.00351104626182,1.0035154503789,1.00354746358436,1.00362339682555,1.00378568834903,1.00411319517787
"3",1.0006305606048,1.00122682161415,1.00178736054148,1.00230939416335,1.00278877575128,1.00321999322107,1.00359616839639,1.00390905764852,1.00414909621622,1.00430792172029,1.00438228674718,1.00437440135826,1.00429193332082,1.00414800211653,1.0039611681843,1.00375541988752,1.00355969242046,1.00340240734709,1.00330796097887,1.00329668070055,1.00338484127078,1.00358467953338,1.00390440524161,1.00434820627243,3,1.00002704635954,1.00017484030806,1.00043183668183,1.00077773620877,1.00118288844915,1.0016082603141,1.0020077117264,1.00233564487889,1.00256086187421,1.00267930441151,1.00270869000637,1.00267060929189,1.00257920524155,1.00243829309415,1.00224569285014,1.0020052334873,1.00174256385405,1.00150542728342,1.00134856653053,1.00131945840423,1.00144751855908,1.0017327670683,1.00212805577395,1.00252360053588,1.00123443906965,1.00227990939144,1.00314472105294,1.00384339627088,1.00439723888052,1.00483431963997,1.00518714320528,1.00548494027717,1.00573984660331,1.00593918433583,1.0060586768477,1.00608108860015,1.00600758729108,1.00586062713381,1.00567957978015,1.00550866331013,1.00538011719924,1.00530298053494,1.00527118948334,1.00527780725336,1.00532591177676,1.00544001564585,1.00568390342605,1.00617613281468
"4",1.00084083581773,1.00163609652579,1.00238385703082,1.00308037678824,1.00372009488081,1.00429562672747,1.00479776277467,1.00521546963785,1.00553595032256,1.00574801572823,1.00584731250049,1.00583678332652,1.00572666735087,1.00553448950846,1.0052850413711,1.00501035794497,1.00474907020536,1.00453911371509,1.0044130445436,1.00439798763465,1.0045156658154,1.00478242597926,1.00520925836104,1.00580180584361,4,1.00003606197528,1.00023312720363,1.00057582367912,1.00103711600482,1.00157749545608,1.00214492165823,1.00267784432619,1.00311540481815,1.00341593900683,1.00357400019372,1.00361321613964,1.00356239637274,1.00344041776451,1.00325237791555,1.00299537727174,1.00267453779886,1.00232409299513,1.00200773983425,1.0017984927267,1.00175966464127,1.00193049022019,1.00231102305249,1.00283841358342,1.00336621515716,1.00164625729776,1.0030410337121,1.00419515748584,1.0051278081609,1.00586727780739,1.00645094742883,1.00692216327514,1.00731993103269,1.00766044078577,1.00792674077449,1.00808638207859,1.00811632475403,1.00801812595321,1.00782179225111,1.00757993237559,1.00735161959335,1.00717991429488,1.00707688261013,1.00703441996949,1.00704325914918,1.0071075116666,1.00725992265566,1.00758570813433,1.00824330873031
"5",1.00105115521846,1.00204553873813,1.00298070869338,1.00385195245776,1.00465227895354,1.00537241350777,1.00600079580835,1.00652358169381,1.00692471984596,1.00719017471118,1.0073144751896,1.00730129454161,1.00716345104563,1.00692289130671,1.00661066028299,1.00626686497979,1.00593985759202,1.00567710780311,1.00551934529162,1.00550050346038,1.00564776481036,1.0059816018975,1.00651580750019,1.00725750921873,5,1.0000450776723,1.00029141749596,1.00071983139971,1.00129656302648,1.00197225799372,1.00268187054532,1.00334842510387,1.00389577136615,1.00427174542874,1.00446949431748,1.00451855823026,1.00445497661956,1.00430237006643,1.00406712385904,1.00374562246075,1.00334428918219,1.00290595972409,1.0025103043237,1.00224862108383,1.00220006440448,1.00241369480577,1.00288961283827,1.00354927492955,1.00420953799059,1.00205824491102,1.00380273602522,1.00524669387638,1.00641386344858,1.00733946828782,1.00807017612945,1.00866017810539,1.00915827061118,1.00958470259861,1.00991822427024,1.01011817413721,1.01015567805735,1.01003268274181,1.0097867811274,1.00948387591596,1.00919795375682,1.00898293332572,1.00885391481488,1.00880074313528,1.00881181150178,1.0088922688392,1.00908312380682,1.00949110926206,1.01031473163226
"6",1.00126151881628,1.00245514831957,1.00357791574067,1.0046241216281,1.00558532877275,1.00645035479849,1.00720526921992,1.00783339602874,1.00831540743185,1.00863440163013,1.0087837779315,1.00876793810376,1.00860228733326,1.00831321015463,1.00793802722199,1.00752494295357,1.00713205625105,1.00681639106994,1.00662686456358,1.00660422950473,1.00678113969198,1.00718220899411,1.00782405486351,1.00871531944264,6,1.00005409345059,1.00034971118526,1.00086385984659,1.00155607729115,1.00236717612338,1.00321910712943,1.00401945435918,1.00467674499479,1.00512828176196,1.00536578749515,1.00542471701429,1.00534835073778,1.00516506278279,1.00488253146152,1.00449642883665,1.00401448793593,1.00348816423689,1.00301312087814,1.00269895169275,1.00264065777895,1.00289713242814,1.00346853661832,1.00426064016928,1.00505356963142,1.00247040197912,1.00456501676972,1.00629933137638,1.00770156423666,1.00881381347081,1.00969200992632,1.01040119286519,1.01099996512419,1.01151263904566,1.01191364258223,1.01215406126055,1.01219915683886,1.01205126568722,1.01175560121801,1.01139141718678,1.01104767199173,1.01078918005956,1.01063408267243,1.01057016440524,1.01058346975613,1.01068018888977,1.01090962506192,1.01140011361026,1.0123904102459
"7",1.00147192662047,1.00286492533851,1.00417547838429,1.00539688475576,1.00651924514249,1.00752945183749,1.00841118473392,1.00914491485785,1.00970801572932,1.01008069945033,1.01025522384775,1.01023671711769,1.01004317914611,1.00970544869919,1.00926714449313,1.00878459383036,1.00832566785504,1.00795696497603,1.00773560370162,1.00770916709615,1.00791579189819,1.00838424897717,1.0091340026583,1.0101752395646,7,1.00006310931017,1.00040800827172,1.00100790902274,1.00181565881626,1.00276224990638,1.00375663156471,1.00469093239205,1.00545832617635,1.005985548629,1.00626288043972,1.00633169322845,1.00624251943349,1.00602849654959,1.00569860126032,1.00524779681919,1.00468513435891,1.00407070672963,1.00351618962399,1.00314948464433,1.0030814448498,1.00338080319969,1.00404779458544,1.00497250965979,1.00589831067541,1.00288272857173,1.00532787638487,1.00735307113884,1.00899091263054,1.01029031651001,1.01131645301065,1.01214521273261,1.01284502069441,1.01344425714411,1.01391300348496,1.01419405170217,1.01424676944411,1.01407388283587,1.01372825999281,1.0133025629864,1.0129007805006,1.01259866027451,1.0124173917158,1.01234268921339,1.01235823936676,1.01247127742345,1.01273943239434,1.01331272799284,1.01447035331455
"8",1.00168237864033,1.00327486986341,1.00477339683597,1.00617024229763,1.00745402886755,1.00860970586392,1.00961854407698,1.01045814039925,1.01110254739109,1.01152907114128,1.01172881606447,1.01170763469263,1.01148612942068,1.01109960959104,1.01059801440448,1.01004581957669,1.00952069407853,1.0090988309835,1.00884556404934,1.00881531756453,1.00905172286855,1.00958772355677,1.01044565309476,1.01163727263826,8,1.00007212525102,1.00046630875554,1.00115197893114,1.00207530761926,1.00315747940406,1.00429444400539,1.00536285950262,1.00624051538348,1.00684354665296,1.00716077386483,1.00723948761015,1.00713748341341,1.00689267200341,1.00651533379321,1.00599972682847,1.00535622875015,1.00465358739852,1.00401951068774,1.00360022002949,1.00352242570218,1.00386470723287,1.00462738693254,1.00568488375851,1.0067437617188,1.00329522475861,1.00609131531024,1.00840791431801,1.01028191073833,1.01176898056366,1.01294350958038,1.01389224289468,1.0146934434557,1.01537956392458,1.01591631476829,1.0162381537323,1.01629852423556,1.01610054225022,1.01570476493623,1.015217320126,1.01475728549734,1.01441137975905,1.01420384748774,1.01411832300328,1.0141361257978,1.01426554005529,1.01457255178829,1.01522895923656,1.01655456959945
"9",1.00189287488514,1.00368498196274,1.00537167130758,1.00694419471094,1.00838968075347,1.00969111811829,1.01082734897777,1.01177307487392,1.01249900507358,1.01297951967674,1.0132045577123,1.01318069394237,1.01293114109772,1.01249569548448,1.01193063926717,1.01130862216151,1.0107171365981,1.01024199055608,1.00995674695184,1.00992268224123,1.01018893404425,1.01079263444507,1.01175900838594,1.01310142172173,9,1.00008114127316,1.00052461263693,1.00129606957479,1.00233502371757,1.00355286467782,1.00483254460578,1.00603523599123,1.00702331308918,1.00770227645741,1.00805946848476,1.00814810089742,1.00803324338485,1.00775758978134,1.00733272959842,1.00675221928488,1.00602777140888,1.00523680643986,1.00452308419594,1.0040511579392,1.00396360042128,1.00434884464017,1.00520731385265,1.00639776282315,1.00758992335833,1.00370789060949,1.00685533398577,1.00946386206931,1.01157456067082,1.01324980879461,1.01457318384023,1.01564228854736,1.01654523955312,1.01731856643109,1.01792358423746,1.01828637563782,1.01835442959259,1.01813125200889,1.01768512354729,1.01713569542965,1.01661719320722,1.016227344312,1.01599345554079,1.01589707122803,1.01591713452293,1.01606298241032,1.01640898923879,1.01714881418112,1.01864306787989
