"","fit.or.lag0","fit.or.lag1","fit.or.lag2","fit.or.lag3","fit.or.lag4","fit.or.lag5","fit.or.lag6","fit.or.lag7","fit.or.lag8","fit.or.lag9","fit.or.lag10","fit.or.lag11","fit.or.lag12","fit.or.lag13","fit.or.lag14","fit.or.lag15","fit.or.lag16","fit.or.lag17","fit.or.lag18","fit.or.lag19","fit.or.lag20","fit.or.lag21","fit.or.lag22","fit.or.lag23","fit.or.lag24","fit.or.lag25","fit.or.lag26","fit.or.lag27","fit.or.lag28","fit.or.lag29","fit.or.lag30","fit.or.lag31","fit.or.lag32","fit.or.lag33","fit.or.lag34","fit.or.lag35","fit.or.lag36","fit.or.lag37","fit.or.lag38","fit.or.lag39","fit.or.lag40","fit.or.lag41","fit.or.lag42","fit.or.lag43","fit.or.lag44","fit.or.lag45","fit.or.lag46","fit.or.lag47","CounterfactualNO2","lci.or.lag0","lci.or.lag1","lci.or.lag2","lci.or.lag3","lci.or.lag4","lci.or.lag5","lci.or.lag6","lci.or.lag7","lci.or.lag8","lci.or.lag9","lci.or.lag10","lci.or.lag11","lci.or.lag12","lci.or.lag13","lci.or.lag14","lci.or.lag15","lci.or.lag16","lci.or.lag17","lci.or.lag18","lci.or.lag19","lci.or.lag20","lci.or.lag21","lci.or.lag22","lci.or.lag23","lci.or.lag24","lci.or.lag25","lci.or.lag26","lci.or.lag27","lci.or.lag28","lci.or.lag29","lci.or.lag30","lci.or.lag31","lci.or.lag32","lci.or.lag33","lci.or.lag34","lci.or.lag35","lci.or.lag36","lci.or.lag37","lci.or.lag38","lci.or.lag39","lci.or.lag40","lci.or.lag41","lci.or.lag42","lci.or.lag43","lci.or.lag44","lci.or.lag45","lci.or.lag46","lci.or.lag47","uci.or.lag0","uci.or.lag1","uci.or.lag2","uci.or.lag3","uci.or.lag4","uci.or.lag5","uci.or.lag6","uci.or.lag7","uci.or.lag8","uci.or.lag9","uci.or.lag10","uci.or.lag11","uci.or.lag12","uci.or.lag13","uci.or.lag14","uci.or.lag15","uci.or.lag16","uci.or.lag17","uci.or.lag18","uci.or.lag19","uci.or.lag20","uci.or.lag21","uci.or.lag22","uci.or.lag23","uci.or.lag24","uci.or.lag25","uci.or.lag26","uci.or.lag27","uci.or.lag28","uci.or.lag29","uci.or.lag30","uci.or.lag31","uci.or.lag32","uci.or.lag33","uci.or.lag34","uci.or.lag35","uci.or.lag36","uci.or.lag37","uci.or.lag38","uci.or.lag39","uci.or.lag40","uci.or.lag41","uci.or.lag42","uci.or.lag43","uci.or.lag44","uci.or.lag45","uci.or.lag46","uci.or.lag47"
"0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1",1.00027095588156,1.00050938806457,1.00071562518037,1.00089035126426,1.00103460589853,1.00114978419706,1.00123763664452,1.00130026880752,1.00134014093934,1.00136006750437,1.00136321665277,1.00135310968002,1.00133361819806,1.00130868388121,1.00128177475941,1.00125582270786,1.00123322349626,1.00121583690344,1.00120498685239,1.00120146153092,1.00120551347317,1.00121685958713,1.00123468112359,1.0012576235916,1.00128381426379,1.00131126749453,1.00133829012336,1.00136349913486,1.00138582171384,1.00140449530799,1.00141906768609,1.00142939698376,1.00143565173177,1.00143831086526,1.00143816371583,1.00143630999169,1.00143412903088,1.00143301237929,1.00143422610918,1.00143890970269,1.00144807608331,1.00146261165249,1.00148327632694,1.00151070357252,1.00154540043156,1.0015877475407,1.00163799913706,1.00169628305098,1,1.00014780032756,1.00028207198561,1.00040249685047,1.00050875444699,1.00060050982822,1.00067740632151,1.00073907129197,1.00078514952876,1.00081538687399,1.00082979189725,1.00082889538884,1.00081409294535,1.00078799264746,1.00075434240585,1.00071730105272,1.0006809099393,1.00064864651053,1.000623097762,1.00060577855309,1.00059708778309,1.0005963927675,1.00060223691974,1.0006126563436,1.00062555727143,1.00063907512652,1.00065204750942,1.00066409536652,1.00067524195719,1.00068558491204,1.00069508020064,1.00070343817397,1.0007101200798,1.00071442846946,1.0007156909657,1.00071353139696,1.00070819869829,1.00070085626751,1.00069347245681,1.00068850707215,1.00068857942374,1.00069610724296,1.00071295127361,1.00074006249435,1.00077710635689,1.00082205009183,1.00087077551101,1.00091695842129,1.00095267256624,1.00039412660061,1.00073675580157,1.00102885152017,1.00127209362362,1.00146889029515,1.00162238506242,1.00173645038092,1.00181565322598,1.00186517014716,1.00189062407058,1.00189782317947,1.00189241671739,1.00187954122149,1.00186333241941,1.00184656686828,1.00183106577621,1.00181814199072,1.00180892716579,1.00180455398491,1.00180620032841,1.00181500498572,1.00183185978819,1.00185709258151,1.00189008916983,1.00192896882414,1.00197092176746,1.00201293911712,1.00205222969082,1.0020865485113,1.00211441333557,1.00213520896381,1.00214919087986,1.00215739478573,1.00216145257089,1.0021633207523,1.00216495105596,1.00216793910662,1.00217309884205,1.00218050086049,1.00218980258977,1.00220060998744,1.00221283362167,1.00222704211785,1.00224483853514,1.00226927357723,1.00230523317205,1.00235955927626,1.00244044596599
"2",1.00054198518021,1.00101903560535,1.00143176248013,1.00178149525389,1.00207028220643,1.00230089039783,1.00247680503351,1.00260222831402,1.00268207785641,1.00272198479236,1.00272829166519,1.00270805026584,1.00266901493361,1.00261908041592,1.00256519246536,1.00251322250639,1.00246796783271,1.00243315206626,1.0024114256981,1.00240436657165,1.00241248020906,1.00243519992152,1.00247088668466,1.00251682880029,1.00256927670665,1.00262425441151,1.00267837126718,1.0027288573996,1.00277356392951,1.00281096322305,1.00284014912527,1.00286083714326,1.00287336455944,1.00287869046867,1.00287839574654,1.00287468296977,1.00287031478784,1.00286807828305,1.0028705092229,1.00287988986652,1.00289824909096,1.00292736253783,1.00296875276255,1.00302368937032,1.00309318912561,1.00317801602366,1.0032786813153,1.00339544347815,2,1.00029562250005,1.00056422353582,1.00080515570465,1.00101776772507,1.00120138026849,1.00135527152234,1.00147868881031,1.00157091551731,1.00163143860374,1.00166027234909,1.00165847784525,1.00162884863803,1.00157660622733,1.00150925384417,1.00143511662625,1.00136228351694,1.00129771376336,1.00124658377482,1.00121192407383,1.00119453208,1.00119314121934,1.00120483652878,1.00122568803499,1.00125150586476,1.00127855867005,1.00130452018479,1.0013286317557,1.00135093986609,1.00137163985074,1.00139064353777,1.0014073711732,1.00142074443013,1.00142936734696,1.00143189414496,1.00142757192097,1.00141689894199,1.00140220373453,1.00138742581768,1.00137748818628,1.0013776329891,1.00139269905122,1.00142641084675,1.0014806726812,1.00155481660806,1.00164477595,1.00174230927202,1.00183475765533,1.0019062527175,1.00078840853699,1.00147405441225,1.00205876157579,1.00254580546942,1.00293993822901,1.00324740225813,1.00347591602176,1.0036346030486,1.003733819154,1.00378482260053,1.00379924809175,1.00378841467581,1.00376261511819,1.00373013684653,1.00369654354576,1.00366548435429,1.00363958962174,1.00362112654908,1.0036123643849,1.00361566301645,1.00363330421453,1.00366707528666,1.00371763395588,1.00378375077673,1.003861658569,1.00394572806754,1.00402993015813,1.00410867102834,1.00417745070728,1.00423329741489,1.00427497704493,1.00430300078116,1.00431944392372,1.004327577019,1.00433132146128,1.00433458912499,1.0043405781732,1.00435092004267,1.00436575630498,1.00438440041493,1.0044060626592,1.00443056387597,1.0044590439523,1.00449471637033,1.00454369675703,1.00461578044408,1.0047246860725,1.00488684770849
"3",1.00081308791584,1.0015289427545,1.00214841226578,1.0026734326747,1.00310703003115,1.00345332012231,1.00371750706271,1.00390588071785,1.00402581315809,1.0040857543798,1.0040952275706,1.00406482423489,1.00400619257856,1.00393119184546,1.00385025522373,1.00377220137614,1.00370423488489,1.00365194728578,1.00361931828675,1.00360871685652,1.00362090195963,1.00365502280502,1.0037086185654,1.00377761761516,1.00385638944453,1.00393896300555,1.00402024582836,1.00409607732916,1.00416322930847,1.0042194065157,1.0042632471752,1.00429432339901,1.00431314144202,1.00432114178571,1.0043206990667,1.00431512189733,1.00430856022048,1.00430520065402,1.00430885229135,1.00432294347068,1.00435052205946,1.00439425578488,1.00445643257018,1.00453896084117,1.00464336977298,1.00477080945149,1.00492205092953,1.00509748616235,3,1.00044346652072,1.00084645467308,1.00120797662775,1.00152703996591,1.00180261153737,1.00203359591335,1.00221885295873,1.00235729844965,1.00244815573136,1.00249144192689,1.00248874793873,1.00244426761757,1.00236584122891,1.0022647347442,1.00215344708964,1.00204412104862,1.00194720203139,1.00187045828038,1.00181843678453,1.00179233310361,1.00179024556763,1.00180779904556,1.00183909530414,1.00187784602479,1.00191845089162,1.00195741830335,1.00199360946042,1.00202709403456,1.00205816513836,1.0020866903472,1.00211179934577,1.00213187340908,1.00214481699715,1.00214860990437,1.00214212193532,1.00212610108627,1.00210404274531,1.00208186041608,1.00206694366878,1.00206716102257,1.00208977576208,1.00214037908179,1.00222183096586,1.00233313122282,1.00246817813005,1.00261460194328,1.0027533984731,1.00286074131841,1.00118284587037,1.00221189623196,1.00308973125593,1.00382113759594,1.0044131469709,1.00487505585747,1.00521840215837,1.00545685545333,1.00560595350919,1.00568260234782,1.00570428157231,1.00568800065247,1.00564922832989,1.00560041975085,1.00554993632888,1.00550326187345,1.00546434890319,1.00543660406905,1.00542343707635,1.00542839395659,1.00545490366551,1.0055056526426,1.00558163052783,1.00568099157293,1.00579807641212,1.00592442655633,1.0060509812793,1.00616933265583,1.00627271567213,1.00635666169096,1.00641931397805,1.00646143963105,1.00648615745525,1.00649838344236,1.00650401225119,1.00650892435425,1.00651792738899,1.00653347386402,1.00655577670084,1.00658380397608,1.00661636867214,1.00665320159835,1.00669601654884,1.00674964481798,1.00682328122525,1.00693165406633,1.00709539352561,1.00733921976225
"4",1.00108426410835,1.00203910964426,1.00286557490406,1.00356616423312,1.00414485048128,1.00460707489228,1.0049597446302,1.00521122822023,1.00537134925446,1.00545137878593,1.00546402690579,1.00542343406793,1.00534515350794,1.00524502041407,1.00513696514311,1.00503276130015,1.00494202653065,1.0048722243615,1.00482866637009,1.00481451412192,1.00483078047889,1.0048763300417,1.00494787865033,1.00503999202779,1.00514515459609,1.00525539553424,1.00536391620701,1.00546516146191,1.00555482051589,1.00562982796035,1.00568836469759,1.00572985867568,1.00575498534278,1.00576566779615,1.00576507665516,1.00575762974172,1.00574886828266,1.00574438243914,1.00574925826899,1.00576807349868,1.00580489802971,1.00586329452709,1.00594631901806,1.00605652143805,1.00619594607018,1.00636613183316,1.00656811238176,1.00680241599271,4,1.00059133239277,1.00112876541983,1.001610959685,1.00203657130127,1.00240420385154,1.00271237980558,1.00295956414123,1.00314429881018,1.00326553879941,1.00332330120246,1.00331970623927,1.00326035042394,1.00315569814186,1.00302078553551,1.00287229281222,1.00272642285026,1.00259711158773,1.00249472152075,1.00242531690763,1.0023904910669,1.00238770602464,1.00241112468862,1.00245287838114,1.00250457799646,1.00255875205238,1.0026107421425,1.00265902877375,1.0027037047707,1.00274516109736,1.00278322096498,1.00281672304001,1.00284350737499,1.00286077778493,1.00286583861076,1.00285718180354,1.00283580548658,1.00280637364437,1.00277677658575,1.00275687384626,1.00275716385086,1.00278733771309,1.0028548563414,1.00296353775398,1.00311205067081,1.00329225718793,1.00348765418563,1.00367288164631,1.00381613923443,1.001577438662,1.00295028166091,1.0041217616508,1.00509809206432,1.00588851969481,1.00650535013769,1.0069639140357,1.00728241643652,1.00748157971348,1.00758397008318,1.00761293046957,1.00759118143738,1.0075393875089,1.00747418761395,1.0074067515257,1.00734440448413,1.0072924258561,1.00725536565564,1.00723777794625,1.00724439905195,1.00727980932858,1.00734759801447,1.00744908871398,1.00758181832341,1.0077382295449,1.00790702490505,1.00807610065333,1.00823422323429,1.00837235250898,1.00848451563677,1.0085682295186,1.00862451737804,1.00865754544325,1.00867388196085,1.00868140326817,1.00868796691285,1.00869999696529,1.00872077059056,1.00875057243807,1.00878802379685,1.00883153870656,1.00888075764821,1.00893797097756,1.00900963521591,1.00910803869428,1.00925286631727,1.00947169480348,1.0097975766975
"5",1.00135551377764,1.00254953640695,1.00358325076199,1.00445969063622,1.00518374466657,1.00576215623124,1.00620351963642,1.00651827302526,1.00671868855883,1.00681886053345,1.00683469221104,1.00678388224908,1.00668590009999,1.00656056836896,1.00642532433478,1.00629490426393,1.00618134465015,1.00609398509512,1.00603947170198,1.00602176010635,1.00604211752301,1.00609912343779,1.00618866882629,1.00630395403226,1.00643557428275,1.00657355425811,1.00670938480645,1.00683611233969,1.00694834022062,1.00704223033529,1.0071155045582,1.00716744590215,1.00719889922923,1.00721227148405,1.00721153149505,1.00720220947453,1.00719124193244,1.00718562658958,1.00719173011449,1.0072152829383,1.00726138004702,1.00733448190248,1.00743841537923,1.00757637461914,1.00775092171947,1.00796398718403,1.00821687008124,1.00851023786665,5,1.00073922011945,1.00141115579854,1.00201410494167,1.00254636186297,1.0030061574278,1.00339162351032,1.00370082276209,1.00393191708367,1.00408358835087,1.00415585074812,1.00415135331731,1.00407709759757,1.00394617745625,1.00377740664799,1.0035916541636,1.00340918923797,1.00324744270563,1.00311937373815,1.00303256466568,1.002989006183,1.00298552280275,1.00301481367666,1.00306703749624,1.00313170202487,1.00319946241369,1.00326449197983,1.00332488998896,1.00338077238279,1.00343262805043,1.00348023572741,1.00352214260449,1.00355564668648,1.00357725007549,1.00358358063127,1.00357275188942,1.00354601249863,1.00350919677644,1.00347217466065,1.00344727904555,1.00344764180089,1.00348538524202,1.00356984298848,1.00370579345147,1.00389157542206,1.00411701368008,1.0043614666605,1.00459320794736,1.00477244733183,1.00197218697314,1.00368921109961,1.00515485385171,1.00637667093835,1.0073660595794,1.008138289383,1.0087124569078,1.0091112920054,1.00936070427978,1.00948893259014,1.00952520164494,1.00949796383343,1.00943309932,1.00935144692945,1.00926699545595,1.00918891834804,1.00912382651249,1.00907741724946,1.00905539289219,1.00906368421631,1.00910802720452,1.009192917572,1.00932001494288,1.00948623780594,1.00968212517258,1.00989353080002,1.01010529646937,1.01030335144251,1.01047637033994,1.01061686874535,1.01072173344288,1.01079224399199,1.01083361797238,1.0108540827162,1.01086350468032,1.01087172699195,1.01088679713555,1.01091282052907,1.01095015392929,1.0109970704239,1.01105158346628,1.01111324290899,1.01118491833323,1.01127469892737,1.01139798090306,1.01157942950369,1.01185360310507,1.01226193312002
"6",1.00162683694363,1.00306022317494,1.00430144020683,1.00535401259167,1.00622371369792,1.00691856566448,1.00744883398417,1.00782701733988,1.00806783348776,1.00818820214845,1.00820722603005,1.00814617126584,1.00802843473609,1.00787783796025,1.00771533491275,1.00755863225551,1.00742219112587,1.00731723129054,1.00725173603837,1.00723045655038,1.00725491485025,1.00732340480175,1.00743099098246,1.00756950562517,1.0077276506286,1.00789344144066,1.00805665403324,1.00820893250781,1.00834379109522,1.00845661642275,1.00854466962688,1.00860708801147,1.00864488607315,1.00866095583775,1.00866006657382,1.00864886407165,1.00863568413214,1.00862893606072,1.00863627079078,1.00866457478162,1.0087199711611,1.00880782105367,1.00893272493161,1.00909852384787,1.0093083004288,1.0095643795258,1.00986832844441,1.01022095668988,6,1.00088712970399,1.00169362583166,1.00241741246303,1.00305641178288,1.0036084724831,1.00407132733903,1.00444262922592,1.00472015375528,1.00490230492921,1.00498909113665,1.00498368974377,1.00489450967932,1.00473727966253,1.00453459851187,1.00431153151364,1.00409242052811,1.00389819565854,1.00374441517495,1.00364018028141,1.00358787866517,1.00358369611446,1.0036188662285,1.00368157287982,1.00375921835528,1.00384058223706,1.00391866809312,1.00399119339952,1.00405829717935,1.00412056632046,1.004177734971,1.00422805838801,1.00426829170239,1.00429423423424,1.00430183633325,1.00428883255703,1.00425672247836,1.0042125124865,1.00416805497495,1.0041381595937,1.00413859519984,1.0041839186869,1.00428533938619,1.00444859846457,1.00467170594694,1.00494244816338,1.00523604002988,1.00551437814936,1.00572966647772,1.00236709086509,1.00442868494886,1.0061890089511,1.0076568762844,1.00884576980798,1.00977387788455,1.01046403603783,1.0109434881781,1.01124333373312,1.01139749666508,1.01144110197288,1.01140835465636,1.01133037044051,1.01123220420309,1.01113067445101,1.01103680963815,1.01095855691531,1.01090276480191,1.01087628782243,1.01088625537413,1.01093956330502,1.01104161749622,1.011194415655,1.01139425681112,1.01162977051432,1.01188395194269,1.01213857693304,1.01237672597707,1.01258477830617,1.01275373052977,1.01287983554805,1.01296462946421,1.01301438514903,1.01303899587208,1.01305032667774,1.01306021480474,1.01307833815542,1.01310963400877,1.01315453160984,1.01321095442696,1.01327651367868,1.01335066828821,1.01343686973529,1.01354484734113,1.01369311961719,1.01391135596075,1.01424113166049,1.01473230367122
"7",1.00189823362623,1.00357117008067,1.00502014360612,1.00624913080781,1.00726475868735,1.00807630471901,1.0086956895786,1.0091374633739,1.00941878646105,1.00955940616048,1.00958163091002,1.00951030360905,1.00937275980082,1.00919683144102,1.00900699899371,1.00882394726539,1.00866456784262,1.00854196475381,1.00846546113734,1.0084406051967,1.00846917422102,1.00854917594422,1.00867484701035,1.00883664880561,1.00902138576049,1.00921505934838,1.00940572629712,1.00958362451504,1.00974117581594,1.00987298900883,1.00997586277752,1.01004878794087,1.01009294885059,1.0101117238499,1.01011068488318,1.01009759651322,1.01008219784834,1.0100743138122,1.01008288326501,1.01011595202503,1.01018067442609,1.01028331512787,1.01042925095798,1.01062297259287,1.01086808591186,1.01116731288657,1.01152249189495,1.01193457737646,7,1.00103506114961,1.00197617554167,1.0028208823144,1.00356672119295,1.00421114923451,1.00475149160342,1.00518498393761,1.00550900931053,1.0057216890783,1.0058230229413,1.00581671609006,1.00571258721047,1.00552900525154,1.00529236155767,1.00503192523246,1.00477611703722,1.00454937072008,1.00436984607366,1.00424816397764,1.00418710872677,1.0041822261724,1.00422328256309,1.00429648476239,1.00438712723309,1.00448211178415,1.00457327076031,1.00465793929908,1.00473627946907,1.0048089762306,1.0048757190325,1.00493447073965,1.00498144278183,1.00501173062689,1.00502060608435,1.00500542417067,1.00496793578197,1.00491632111979,1.00486441786309,1.00482951581799,1.00483002437508,1.00488293838596,1.00500134589798,1.00519195319979,1.00545244271622,1.00576856119517,1.00611137495632,1.00643639302613,1.00668779754002,1.00276215039918,1.00516870360976,1.00722422804254,1.00893871017152,1.01032765356856,1.01141211994045,1.01221865669811,1.0127790109837,1.01312947461072,1.01330966911719,1.01336063834087,1.01332236073482,1.0132312075603,1.01311646595273,1.01299779485395,1.01288808453877,1.01279662311852,1.01273141427514,1.01270046865587,1.01271211846057,1.01277442365268,1.0128937039795,1.01307229730278,1.01330588214235,1.01358117280321,1.01387829604972,1.01417595026649,1.01445435555241,1.01469758556791,1.01489511052325,1.01504254565217,1.01514168380748,1.01519985710142,1.01522863161412,1.01524187947257,1.01525344058653,1.01527463030278,1.0153112213813,1.01536371593782,1.01542968639895,1.01550634009472,1.01559304471754,1.01569383632798,1.01582009187153,1.01599346662896,1.01624865805203,1.01663429373107,1.01720870302827
"8",1.00216970384535,1.00408237725666,1.00573936132766,1.00714504599359,1.00830688074808,1.00923537492361,1.00994408832719,1.01044961334003,1.01077154990172,1.01093247510253,1.01095790940161,1.01087628177294,1.01071887768191,1.01051755106729,1.0103003186971,1.0100908512866,1.00990847668753,1.00976818729323,1.0096806487591,1.00965220779006,1.00968489739781,1.00977643867807,1.00992023880379,1.01010538557522,1.01031678180801,1.0105384102507,1.01075660401109,1.01096019091363,1.01114049706274,1.01129135088356,1.01140908688811,1.0114925486318,1.01154309054186,1.01156457851744,1.01156338941915,1.01154840978368,1.01153078605184,1.01152176280789,1.01153157050863,1.01156941766925,1.01164349290055,1.01176096727689,1.01192799674598,1.01214972432803,1.01243028188807,1.01277279130085,1.01317936486379,1.01365110484877,8,1.00118301445954,1.00225880495104,1.00322451456112,1.00407729022521,1.00481418789923,1.00543211661537,1.00592788730236,1.00629848423536,1.00654174134246,1.0066576467358,1.00665043292805,1.00653133073277,1.00632135471448,1.00605069621628,1.00575283569044,1.00546027908208,1.00520096816406,1.00499566667697,1.00485651597735,1.00478669658133,1.00478111318934,1.0048280628995,1.00491177337464,1.00501542890386,1.00512405131683,1.00522830025954,1.00532512798151,1.00541471956088,1.00549785810418,1.00557418824891,1.0056413800087,1.00569510028418,1.0057297396194,1.00573989025247,1.00572252709493,1.00567965276592,1.00562062302177,1.00556126365971,1.00552134804593,1.00552192965422,1.0055824446777,1.00571786288752,1.00593585806398,1.006233786201,1.00659535333326,1.00698747210299,1.00735925335221,1.00764684138751,1.00315736563673,1.0059092674837,1.00826051222071,1.01022217467134,1.01181171405381,1.01305301985579,1.0139763241701,1.01461786646219,1.01501913346198,1.01522545676858,1.01528381764947,1.01523998891038,1.01513561738181,1.01500423870838,1.01486836301957,1.0147427492455,1.01463803118707,1.01456337164207,1.0145279413221,1.01454127942152,1.01461261428102,1.01474918322552,1.01495366635063,1.01522112061591,1.01553633928628,1.01587657085296,1.01621742470842,1.01653624890086,1.01681480130449,1.01704101827914,1.01720987359429,1.01732341705609,1.0173900439796,1.01742300014997,1.01743817329904,1.01745141459479,1.01747568387777,1.0175175930208,1.01757771739413,1.01765327695596,1.01774107348904,1.01784038315282,1.01795582928032,1.01810044395854,1.01829903375742,1.01859134816963,1.0190331026094,1.01969114590415
"9",1.00244124762093,1.00459384483548,1.00645909373951,1.00804175885858,1.00935008099443,1.01039577780882,1.01119403213983,1.01176346945383,1.01212612623607,1.01230741151104,1.01233606405897,1.01224410825511,1.01206679077031,1.01183999909806,1.01159529614503,1.01135934631465,1.01115391955005,1.01099590071927,1.01089730066597,1.01086526607733,1.01090208614528,1.01100519481833,1.01116716825897,1.01137571793811,1.01161384090344,1.01186349642004,1.01210928959137,1.01233863425932,1.01254175751932,1.01271170484088,1.01284434484073,1.01293837302992,1.01299531413156,1.01301952284164,1.01301818318208,1.01300130687172,1.01298145171775,1.01297128601591,1.01298233549731,1.01302497471928,1.01310842964745,1.01324078065717,1.01342896558812,1.0136787825325,1.01399489208262,1.01438081880952,1.01483895178913,1.01537054403753,9,1.00133098963703,1.00254151408224,1.00362830926854,1.00458811901173,1.0054175886946,1.00611320268702,1.00667133972566,1.00708857901605,1.00736246226648,1.00749296309437,1.00748484083008,1.0073507407884,1.00711432854298,1.00680960291887,1.00647426325826,1.00614490697967,1.00585298826444,1.0056218772277,1.00546523650366,1.00538664244247,1.00538035737817,1.00543320745697,1.00552743894735,1.00564412361331,1.00576640109709,1.00588375686912,1.00599275974085,1.00609361776391,1.00618721226478,1.00627314295744,1.00634878654472,1.00640926456905,1.00644826157796,1.00645968920577,1.00644014169464,1.00639187378691,1.00632541853816,1.0062585926997,1.00621365660526,1.0062143113651,1.00628243790084,1.00643489071877,1.00668031346425,1.00701573687277,1.0074228251359,1.00786433213359,1.00828295990283,1.00860679888976,1.00355273663912,1.00665037697237,1.00929786258143,1.01150727185818,1.01329795446111,1.01469658194265,1.01573704374444,1.01646006066457,1.01691231684851,1.0171448664542,1.01721064681234,1.01716124603756,1.01704360662008,1.01689552901221,1.01674238531439,1.01660080996529,1.01648278719696,1.01639864288645,1.01635871176141,1.0163737442136,1.01645414123451,1.01660806144937,1.01683852927499,1.01713997906097,1.01749527722454,1.0178787840995,1.01826300851412,1.01862241477264,1.01893643471442,1.01919146337101,1.01938182923446,1.01950983926589,1.01958495595554,1.01962211170932,1.01963921841352,1.0196541471092,1.01968150920288,1.01972875932396,1.01979654648252,1.01988173673733,1.01998072465999,1.02009269457415,1.02022285978624,1.02038591506778,1.02060983284844,1.02093943873419,1.02143757161948,1.02217964704772
