"","fit.or.lag0","fit.or.lag1","fit.or.lag2","fit.or.lag3","fit.or.lag4","fit.or.lag5","fit.or.lag6","fit.or.lag7","fit.or.lag8","fit.or.lag9","fit.or.lag10","fit.or.lag11","fit.or.lag12","fit.or.lag13","fit.or.lag14","fit.or.lag15","fit.or.lag16","fit.or.lag17","fit.or.lag18","fit.or.lag19","fit.or.lag20","fit.or.lag21","fit.or.lag22","fit.or.lag23","CounterfactualNO2","lci.or.lag0","lci.or.lag1","lci.or.lag2","lci.or.lag3","lci.or.lag4","lci.or.lag5","lci.or.lag6","lci.or.lag7","lci.or.lag8","lci.or.lag9","lci.or.lag10","lci.or.lag11","lci.or.lag12","lci.or.lag13","lci.or.lag14","lci.or.lag15","lci.or.lag16","lci.or.lag17","lci.or.lag18","lci.or.lag19","lci.or.lag20","lci.or.lag21","lci.or.lag22","lci.or.lag23","uci.or.lag0","uci.or.lag1","uci.or.lag2","uci.or.lag3","uci.or.lag4","uci.or.lag5","uci.or.lag6","uci.or.lag7","uci.or.lag8","uci.or.lag9","uci.or.lag10","uci.or.lag11","uci.or.lag12","uci.or.lag13","uci.or.lag14","uci.or.lag15","uci.or.lag16","uci.or.lag17","uci.or.lag18","uci.or.lag19","uci.or.lag20","uci.or.lag21","uci.or.lag22","uci.or.lag23"
"0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1",1.00005227229744,1.00013174894852,1.00023662659632,1.00036329308378,1.00050632568458,1.00065848897134,1.00081073266472,1.00095218992217,1.0010702156935,1.00115273113328,1.00119185985412,1.00118424505763,1.00113105185086,1.00103796656395,1.00091519325296,1.00077744828621,1.00064359827143,1.00053251438176,1.00046040269437,1.00044076591671,1.00048441035125,1.00059945226752,1.00079132266319,1.00106276965065,1,0.999803380852951,0.999699083256663,0.999680827620225,0.999737314864336,0.999851917956551,1.00000262566605,1.00016310745971,1.00030641311348,1.00041151440253,1.0004698041923,1.00048374900884,1.00045905621173,1.00040012029245,1.0003090291467,1.00018727475886,1.00004043276597,0.999884568685507,0.999745259054609,0.999650658898449,0.999625352458912,0.999685432640075,0.999833440640811,1.00005097787292,1.0002935320702,1.00030122570107,1.00056460189633,1.00079273458354,1.00098966325491,1.00116116172552,1.00131478243218,1.00145877721974,1.00159838363079,1.00172935069338,1.00183612424445,1.00190047187793,1.00190995956109,1.00186251745654,1.00176743516681,1.00164364151318,1.00151500697636,1.00140320404978,1.00132038963779,1.00127080240444,1.00125684452281,1.00128402662868,1.00136605076579,1.00153221553592,1.00183259878392
"2",1.00010454732728,1.00026351525483,1.00047330918478,1.00072671814942,1.00101290773487,1.00131741155041,1.0016221226169,1.00190528650998,1.00214157674863,1.00230679105562,1.00238514023816,1.00236989255162,1.00226338298001,1.00207701050249,1.00183122408461,1.00155550099825,1.00128761076159,1.00106531233509,1.00092101735937,1.00088172610801,1.00096905535589,1.00119926387806,1.00158327151793,1.00212666878063,2,0.999606800364991,0.999398257064212,0.999361757111457,0.999474698732153,0.999703857841394,1.00000525133899,1.00032624152347,1.00061292011596,1.00082319814915,1.00093982910058,1.00096773203079,1.00091832315607,1.00080040068115,1.00061815379242,1.00037458458956,1.00008086716674,0.999769150695402,0.999490583002166,0.999301439836104,0.999250845278604,0.999370964232775,0.999666909023642,1.00010195834458,1.00058715030147,1.00060254213907,1.00112952256797,1.0015860975952,1.00198030594318,1.00232367174759,1.00263129351721,1.00291968247047,1.00319932209182,1.00346169204059,1.00367561984114,1.00380455554922,1.0038235670677,1.00372850388435,1.00353799416069,1.00328998458378,1.00303230919885,1.00280837708116,1.00264252270437,1.00254321974762,1.00251526870377,1.00256970198175,1.00273396762627,1.00306677875629,1.00366855598615
"3",1.00015682508966,1.00039529892122,1.00071004777864,1.00109027524488,1.00151974628065,1.00197676802273,1.00243417038942,1.00285929062676,1.00321408439117,1.00346218129876,1.00357984284518,1.0035569441428,1.00339699483439,1.0031171329339,1.00274809326149,1.00233415860604,1.00193203773709,1.00159839401099,1.00138184409261,1.00132288065953,1.00145393512759,1.00179943504703,1.00237584705975,1.00319169859032,3,0.999410258528518,0.9990975213954,0.999042788441183,0.999212151585324,0.999555819651281,1.00000787701883,1.0004894021956,1.00091952103621,1.00123505130957,1.00141007482853,1.00145194917904,1.00137780092976,1.00120084123015,1.00092737396666,1.00056192949866,1.00012130320239,0.999653746028147,0.999235971826142,0.998952342770331,0.99887647840649,0.999056594746971,0.999500405143872,1.00015294141512,1.00088085471911,1.00090394934132,1.00169476219489,1.00238008953315,1.00297192903412,1.0034875316318,1.00394953552788,1.00438271885649,1.00480281946668,1.0051970292135,1.00551849298029,1.00571225787799,1.00574082948727,1.00559796574446,1.00531168250279,1.00493903365219,1.0045519101448,1.00421552185703,1.00396640150176,1.00381725408183,1.00377527452827,1.0038570281762,1.00410375313063,1.00460369325827,1.00550787776131
"4",1.00020910558471,1.00052709994996,1.00094684239114,1.00145396441811,1.00202684145181,1.00263655867401,1.00324687651559,1.00381420313665,1.00428773984822,1.00461890339621,1.00477596937028,1.00474540149395,1.00453188886254,1.00415833497761,1.00366580155086,1.00311342157985,1.00257687946466,1.00213175956056,1.00184288299173,1.00176422965695,1.00193904978007,1.00239996598997,1.00316904978456,1.00425786028137,4,0.999213755335934,0.998796876222985,0.998723921576899,0.998949673405727,0.999407803382966,1.00001050270556,1.00065258948046,1.00122621590299,1.0016470739535,1.0018805414799,1.00193640056685,1.00183748962957,1.00160144200354,1.00123668969895,1.00074930949273,1.00016174087299,0.999538354682205,0.99898142551001,0.998603367658511,0.998502251790005,0.998742324151546,0.999333928996882,1.00020392708467,1.00117464534841,1.00120544733516,1.00226032095717,1.00317471089598,1.00396453349799,1.00465274294556,1.00526951073999,1.00584788948666,1.00640887984549,1.00693536739296,1.0073647498635,1.00762358574138,1.00766175380053,1.00747090950991,1.00708850572405,1.00659079316612,1.00607381329678,1.00562464114414,1.00529202833499,1.00509290746193,1.00503686398419,1.00514600733177,1.00547540983152,1.00614296264452,1.00735057027532
"5",1.00026138881258,1.00065891834335,1.00118369303555,1.00181778571711,1.00253419337828,1.00329678379016,1.00406024152916,1.00477002490461,1.00536254434819,1.00577695888323,1.00597352151056,1.00593526626985,1.00566806651469,1.00520061775423,1.00458434972067,1.00389329039033,1.00322213621126,1.00266540913494,1.00230413415439,1.00220577318596,1.0024243994271,1.00300085692254,1.00396288018866,1.00532515505671,5,0.99901729077964,0.998496321519737,0.998405156486111,0.998687264175247,0.999259809033203,1.00001312839919,1.00081580338239,1.00153300474511,1.00205926615068,1.00235122915847,1.00242108630755,1.00229738935233,1.00200220306544,1.00154610101882,1.00093672457835,1.00020218017858,0.999422976656038,0.998726944037247,0.998254514458041,0.998128165376601,0.998428152415393,0.999167480578052,1.00025491535336,1.00146852221469,1.00150703614795,1.00282619903501,1.00396996218263,1.00495812030603,1.00581930725811,1.00659122143231,1.00731519747437,1.00801750732492,1.00867671176875,1.00921439670372,1.00953854602962,1.00958634700154,1.00934734166583,1.00886846936516,1.00824526758055,1.00759802214266,1.00703573771315,1.00661940551215,1.00637018194542,1.00630003906191,1.0064366415709,1.00684894028511,1.00768459052325,1.0091966397054
"6",1.00031367477342,1.00079075410367,1.00142059972512,1.00218173918987,1.00304180219006,1.00395744365727,1.00487426596432,1.00572675679642,1.00643849912081,1.00693634929687,1.00717250096516,1.00712654013723,1.00680552924268,1.00624398238553,1.00550373853956,1.00467376550847,1.00386780824399,1.0031993428854,1.00276559767833,1.00264751133231,1.00290998418253,1.00360210806055,1.00475733876875,1.00639358412054,6,0.99882086485204,0.998195857258431,0.998086493136335,0.998424923875772,0.999111836598745,1.00001575409971,1.00097904390572,1.00183988759135,1.00247162797089,1.00282213796809,1.00290600651449,1.00275750019491,1.00240312447996,1.0018556079558,1.00112417476208,1.00024262111926,0.999307611948108,0.998472527391335,0.997905783126332,0.997754219113752,0.998114079507414,0.999001059882765,1.00030590622132,1.00176248534325,1.00180871580705,1.00339239660868,1.00476584389249,1.00595269043042,1.00698722614048,1.00791466988664,1.00878464593755,1.00962870600818,1.01042106753965,1.01106743972536,1.01145714564604,1.01151461609774,1.01122726870939,1.0106515789766,1.00990246135781,1.00912454017557,1.00844881433858,1.00794853534439,1.00764907959239,1.00756480175431,1.00772893301876,1.00822434705102,1.00922858050815,1.01104609224006
"7",1.00036596346737,1.00092260723321,1.00165756247312,1.0025458248844,1.00354966801722,1.00461853856162,1.00568895035568,1.00668439967869,1.00751560539711,1.00809707617593,1.00837290943524,1.0083192247648,1.00794427849999,1.00728842999442,1.00642396877689,1.00545484740566,1.00451389583012,1.00373356096327,1.00322727366132,1.00308944418178,1.00339580416025,1.00420371961991,1.00555242602192,1.00746314867835,7,0.998624477545538,0.997895483411852,0.997767931495099,0.998162652489193,0.998963886076347,1.00001837980712,1.00114231105479,1.00214686447052,1.00288415948392,1.00329326801264,1.0033911613011,1.00321782225424,1.00280420631128,1.00216521053945,1.0013116600505,1.00028306369507,0.999192260556878,0.99821817555576,0.997557173620811,0.997380412948951,0.997800105396519,0.998834666906401,1.00035689968869,1.00205653475942,1.00211048633981,1.00395891385857,1.0055623565253,1.00694824484432,1.00815650116556,1.00923985838775,1.01025623799867,1.01124248000505,1.01216843991341,1.01292388516421,1.01337939150707,1.01344656810994,1.01311069714988,1.01243784011867,1.01156237896755,1.01065337089395,1.00986387379885,1.00927942014588,1.00892960246556,1.00883115405677,1.00902288380325,1.00960163269239,1.01077493621851,1.01289893407919
"8",1.00041825489456,1.00105447773427,1.0018945812928,1.00291004284875,1.0040577909899,1.00528006878967,1.00650429523829,1.00764295441887,1.00859386440945,1.009259141061,1.00957474862398,1.00951332182325,1.00908431574175,1.00833396170501,1.00734504120273,1.00623653655364,1.0051603992371,1.00426806351994,1.00368916220117,1.00353157182018,1.00388185947418,1.00480569181669,1.00634814244565,1.00853384993692,8,0.998428128852541,0.997595199952793,0.99744947152994,0.997900449997409,0.998815957462766,1.00002100552143,1.00130560483396,1.00245393541143,1.00329686075961,1.00376461939606,1.00387655078086,1.00367835562727,1.00320544862358,1.00247490879932,1.00149918045018,1.00032350790608,0.99907692248081,0.997963888514012,0.997208685898919,0.99700674682971,0.997486230051633,0.998668301644345,1.00040789575559,1.00235067048852,1.0024123477736,1.00452575096518,1.00635950058123,1.00794478452184,1.00932713390804,1.01056678922341,1.01172997678477,1.01285883343185,1.01391883410679,1.01478373926754,1.01530529054231,1.01538221007235,1.01499763350873,1.0142272583615,1.01322502488679,1.01218451780153,1.01128091887629,1.01061206223387,1.01021175263028,1.01009909796718,1.01031849605501,1.01098079977587,1.0123236612791,1.01475517143402
"9",1.00047054905515,1.00118636560913,1.00213165619744,1.00327439313097,1.00456617123828,1.00594203462807,1.00732030114762,1.00860242188521,1.00967327739151,1.01042254549445,1.0107780202366,1.01070883298523,1.01022564242475,1.00938057864256,1.00826695658784,1.0070188334245,1.00580731873256,1.00480285070691,1.00415126339576,1.00397389433338,1.00436815023835,1.00540802486706,1.00714448853783,1.00960568910429,9,0.998231818765456,0.997295006854055,0.997131113208406,0.997638316382322,0.998668050754755,1.00002363124263,1.00146892524756,1.0027611004429,1.00370973186782,1.00423619222233,1.0043621750673,1.004139100411,1.00360685148107,1.00278470276497,1.0016867359677,1.00036395375237,0.998961597718369,0.997709666249586,0.996860319918111,0.996633220703562,0.997172453441684,0.998501964091981,1.00045889442217,1.00264489255589,1.00271430013583,1.00509290810909,1.00715727656081,1.00894231043806,1.01049912594446,1.01189546468443,1.01320586542743,1.01447777041152,1.01567225534559,1.01664700829408,1.0172348496945,1.01732154903264,1.01688808431948,1.01601983928507,1.01489040359989,1.01371798440736,1.01269995235712,1.01194646392867,1.01149553215452,1.01136863548595,1.01161577190739,1.0123618508716,1.01387475932029,1.01661481052717
